# Pointing,RA,DEC,integration time, IDs
P005+11,5.91719166667,10.8959255556,0.0,None
P356+64,356.03385,63.5148222222,0.0,None
P083+49,83.2716416667,49.1729391667,0.0,None
P032+41,32.0143625,41.2409194444,0.0,None
P187+40,187.961333333,39.7503261111,8.01, 350670
P263+55,263.845533333,55.2514572222,0.0,None
P061+09,61.1762375,8.84828361111,0.0,None
P009+16,9.9597125,15.9516305556,0.0,None
P263+50,263.4491,50.2300816667,0.0,None
P058+16,58.4695916667,16.3574811111,0.0,None
P091+79,91.9640541667,79.3220330556,0.0,None
P058+11,58.6779375,11.3388491667,7.71, 594755 596051
P310+15,310.806225,15.4458919444,0.0,None
P310+13,310.209745833,12.9309166667,0.0,None
P310+10,310.6047625,10.4239619444,0.0,None
P337+48,337.25225,48.2966194444,0.0,None
P105+07,105.139975,6.65350777778,0.0,None
P105+09,105.730920833,9.16757777778,0.0,None
P337+41,337.1264875,40.7663527778,0.0,None
P054+31,54.673075,31.3876561111,0.0,None
P245+07,245.986825,7.44769972222,0.0,None
P054+34,54.0590125,33.8926991667,0.0,None
P054+36,54.6657541667,36.4074525,0.0,None
P245+02,245.974145833,2.42727694444,0.0,None
P054+39,54.0151625,38.9121236111,0.0,None
P179+57,179.4386125,57.27186,8.01, 441694
P138+67,138.057341667,67.0834636111,0.0,None
P138+65,138.289891667,64.57683,0.0,None
P029+44,29.8352958333,43.7321833333,8.01, 411962
P207+02,207.115308333,2.20207111111,0.0,None
P166+87,166.434479167,87.1485213889,0.0,None
P159+07,159.885954167,6.97304388889,0.0,None
P336+28,336.17675,28.2085561111,0.0,None
P007+16,7.26768333333,15.9279972222,0.0,None
P108+42,108.11175,41.8126058333,0.0,None
P007+18,7.63447916667,18.4413155556,0.0,None
P343+16,343.053483333,15.7173527778,0.0,None
P275+48,275.2922125,47.8030833333,0.0,None
P181+25,181.514083333,24.6572972222,0.0,None
P275+40,275.830329167,40.2778472222,0.0,None
P087+12,87.729725,11.5558972222,0.0,None
P197+05,197.230233333,4.65926916667,0.0,None
P023+86,23.28305,86.2349797222,0.0,None
P112+44,112.695083333,44.3514433333,0.0,None
P104+24,104.734295833,24.2215319444,0.0,None
P224+25,224.277733333,24.8885916667,0.0,None
P349+51,349.03045,50.9080008333,0.0,None
P224+20,224.220829167,19.8679991667,0.0,None
P212+02,212.299083333,2.23034527778,0.0,None
P212+05,212.81365,4.74336277778,0.0,None
P349+58,349.523204167,58.4403133333,0.0,None
P212+07,212.057633333,7.24935861111,0.0,None
P157+35,157.41845,34.5700663889,8.01, 413284
P182+12,182.947083333,12.1145525,0.0,None
P031+16,31.5072666667,16.1365858333,0.0,None
P158+32,158.180541667,32.0642766667,0.0,None
P350+56,350.892333333,55.9430122222,0.0,None
P021+41,21.6926375,41.1528883333,0.0,None
P063+49,63.4993458333,49.0257944444,0.0,None
P124+09,124.088020833,9.28203972222,0.0,None
P126+02,126.823908333,1.76785194444,0.0,None
P020+49,20.2182041667,48.6693822222,0.0,None
P357+71,357.123708333,71.0480402778,0.0,None
P260+10,260.628145833,10.0526411111,0.0,None
P329+16,329.611945833,15.6021725,0.0,None
P126+09,126.710945833,9.29767222222,0.0,None
P124+02,124.2342125,1.75242138889,0.0,None
P020+46,20.7664958333,46.1644777778,0.0,None
P124+04,124.531425,4.26438305556,0.0,None
P038+01,38.7872791667,1.13660805556,8.02, 424613 426429
P145+04,145.298491667,4.38372333333,0.0,None
P323+03,323.714366667,3.00154138889,0.0,None
P323+00,323.715270833,0.491316388889,0.0,None
P057+21,57.7745625,21.3721875,0.0,None
P180+65,180.7107,64.8043097222,0.0,None
P084+19,84.1818208333,19.0610033333,0.0,None
P099+37,99.7980541667,36.7386647222,0.0,None
P145+09,145.074679167,9.40291666667,0.0,None
P180+62,180.114220833,62.2928925,0.0,None
P253+80,253.4144875,80.2454566667,0.0,None
P102+22,102.301670833,21.6955419444,0.0,None
P307+13,307.553995833,12.9094833333,0.0,None
P12Hetdex11,172.55829,52.12205,9.04, 231177
P082+12,82.4467916667,11.5182222222,0.0,None
P028+41,28.5722458333,41.2117944444,0.0,None
